person_id,why_think_pid_with_when
US:1154473,Donald Trump
US:140100201,Because the Democrat party had gone off the rails.
US:1499899,I believe in what the party used to stand for and mostly stands for now.
US:4291466,Don't care for neither
US:615551,I'm a progressive Democrat. Conservatives are reactionary and backward.
US:167984309,none
US:22084835,Republican Party maintain the morals and principles that I believe in.
US:2969762,"Democrats more closely mirror my opinions on abortion, climate change, gun restrictions, etc."
US:3191371,"I believe in smaller government, free market economy, less regulation, States rights, right to bare arms, conservative values."
US:108983179,"Because I believe in America freedom for all , freedom of speech freedom to do what you want when you want. That's the right for American which other take advantage off."
US:3167039,"I am closer to the republicans because it appears that there no moderate democrats. Only progressives that, as Obama said, want to fundamentally change the country. I’m not a globalist."
US:2730631,"Because I believe in Law and Order, I believe in capitalism, I believe conservative values make for a stronger nation and a stronger family, I believe in a strong military, I believe in FREE SPEECH, I believe the government has no business in getting in the peoples business, I believe in the right to own and bear arms, I do not believe the government has any right to HIDE anything from the people, I believe people succeed because they work hard, not because the government gives free handouts."
US:137003893,"Because I care about democracy, rule of law, and equality for all Americans including marginalized groups."
US:37668963,I vote for the same thing as Democrats
US:131632537,I feel Democrat shows more empathy and love.
US:700171,I vote for the best person for the job regardless of party
US:137855943,I have a good memory of our political history.
US:3744133,They seem to be the most conservative and have moral values in line with mine. They are not crazy like the Democrats.
US:143918667,"The Democratic Party is for poor people. Also, the Democrats has more class than the Republicans. Republicans are mean spirited and voted to put a Convicted Felon Criminal in the White House. I truly believe that most Republicans are Racist. USAID was helping poor countries and now I heard on TV last night that people are starving."
US:31254056,I agree much more with the Democrats.
US:1984612,family tradition
US:29442981,"Sometimes I wonder, except that the democrat party is off the rails nutty and have no coherent or logical policy - I'm more a republican by default since I tend to be conservative."
US:101985793,"I am for equal rights and protections for everyone, the rule of law, free trade, inclusion, voting rights, pro choice, democracy, separation of church and state, coequal branches of government, public education etc"
US:169798611,Because democrats sound like socialists
US:1316518,"The Democratic Party has historically been the party which proposed and implemented major positive changes. Think Social Security, Wagner Act, the Federal Reserve System, Marshall Plan, Affordable Health Care Act, Troubled Asset Relief Program (TARP). To this day, the Republican Party is solely dedicated to tearing down these good things with no replacement in mind."
US:39928608,Republicans only care about the rich and corporations
US:170195089,I used to agree with the majority of issues Republicans represented ...this is not the case since Trump became president
US:22972579,Democrats are more willing to help the everyday person who needs help.
US:138550513,I believe in their platform especially social reforms
US:807523,I claim the Republican label in order to be able to vote republican in primaries. Not a maga-moron.
US:2746020,Republicans are upholding constitution
US:4425732,the democrats are way too liberal and think higher taxes will solve all problems. Instead of making people WORK for what they want they just want the richer people who work to pay for those that are too lazy to work
US:193132985,I am socially liberal. I consider the Republican Party (I was a member for 30 years) to be an extension of a fascist MAGA now.
US:156714487,I oppose the social engineering that the Democrats have always tried to do.
US:4541344,I believe that everyone should be considered as equal and freedom of speech is necessary. I do not believe that people with billons of dollars should be given the right to treat those of lesser income so blatantly horrible.
US:3666980,"I dont believe in the way Democrats want to make the country into a Socialistic state. Example, California ran by Gavin Newsom Mandates laws and the courts agree with him, but if a Republican did the same thing, the Left Wing Activist Courts would strike down the mandates as they are Unconstitutional."
US:4392477,I have. Few more morals and ethics than most democrats.
US:1277139,"The democrats of today have shifted way too far to the left. They are no longer liberals, but authoritarian communists."
US:28818021,conservitive
US:101523499,They are for the good of all people not just the rich
US:913969,they generally align more with my beliefs
US:116835999,Don't like either party
US:185480379,feel caged into choosing between D or R
US:200175807,"America First, border wall, strong economy, American energy"
US:579431,The Democratic party is not what my parents knew it to be. The Republicans are more in tuned with all Americans
US:30002325,Conservative
US:22392855,"Agree with trying to keep taxes down, encourage people to work for benefits and more of their policies then the tax, spend and give away democrats."
US:39459886,I could NEVER be a Republican. Their moral integrity is too low for my liking.
US:2816387,"Because they used to be conservative, not so much now."
US:197403395,gaza
US:178817805,"I would like smaller government, more control in the states and I would like to put America first above all other countries"
US:4603326,there are parts about both partys i can agree with
US:163090299,Because we stand for the real people
US:3173735,Instinct and my personal feelings.
US:24708581,Democrats reflect my values and protect our rights
US:182600119,I believe the constitution should be upheld and respected.
US:1284947,Common sense governing
US:120778421,"empathy, caring, free speech for all, equality for all."
US:765554,Strong and undertanding
US:1961133,Their values are somewhat close to mine
US:179994321,I believe in preserving Religious beliefs. I am Pro-Life. I believe in closed borders. I believe in Made In American. I believe America needs to be healthy again. I believe children are not being given a great education due to teacher's unions. I believe the DOE wastes money on school offices and does not use it in the classroom. I believe the military is not able to handle a conflict at this time and our military is fat. I believe China should not own any businesses or land in the USA. I believe that the legal people in the USA should run the USA and congress needs to listen to us. I believe that there was cheating in 2020 election. I work the polls and notice how easy it was to cheat.
US:187618805,Agree with more but not all things democrats do
US:2143683,"I am for America first agenda, fair trade and legal immigration. I am a capitalist not a socialist. I don't believe in DEI and I want low taxes"
US:1612035,"I vote Republican. I do not favor the way the Democrats are woke, and do not fight for the American people."
US:41596731,That's my choice of whom I am.
US:134436719,More closely align with my values
US:45692238,Because I don’t agree with republicans point of views
US:36454902,i do not fell closer to either side
US:169740087,because democrats failed the American people
US:194533309,I never discuss politics
US:121333755,Democracy defends my right as an American.
US:2963081,Republican leaders have gotten so spineless and corrupt.
US:1981471,"Its based on truth and reality,,and honor"
US:823426,because i hate biden
US:128546897,I pick who I think k is right for the middle class
US:1402446,"The GOP model is a disaster, failing to put emphasis on what will make people prosper. Money for education, HC and building infrastructure that is conducive for growth. Cutting taxes is not the solution. YOU need to tax ALL people all the way to the top."
US:2491549,Long history with the party and core values continue to wear well with time.
US:126861069,"I think of myself a a republican because I agree with republican beliefs of strong economy, strong military, strong national security and catholic values."
US:3130390,They fight for justice for all citizens
US:2539584,Democrats are more open minded and law abiding.
US:3086877,"Because I sided, based on my life experiences to be more progressive and charitable in my perspective"
US:11291,"I worked in social services my whole life, it relies on government funding"
US:27378582,like dislike some of both their platforms
US:41902300,Because the Democrats are out of touch with real people
US:132450979,"I am a JFK, Bill Clinton democrat."
US:4202712,"I am Republican because I believe in freedom of thought, morality and law and order."
US:158694127,Believe in most of the issues they support.
US:22954833,I stand for the constitution of the United States
US:32974396,Because I’m for freedom
US:543159,"I am what at one-time would have been called a Henry Jackson Democrat. So, sometimes the far-left Progressives drive me a bit crazy but being a Democrat aligns with my core values."
US:27926155,It’s a party of the working people
US:877476,I am fiscally conservative and would like the economy to approve
US:29767816,Traditional parties no longer serve national needs
US:139642321,Because of the assassination of Dr Martin Luther King Jr. I disagreed with my father’s political choices. Decided I would never vote republican.
US:138645977,Because Democrats care more about everyday Americans and their needs. Republicans seen to only care about rich people and helping them.
US:2073015,I found the Republican party closer to my religious beliefs.
US:107505357,dont trust either party
US:27393269,Christian
US:494406,common sense
US:2413449,"Because Republicans always seem to protect and follow the Constitution, and compared to Democrats, have much more common sense"
US:27126759,"I was raised in a Republican family of self employed individuals. In the past, the Republicans supported small business and entrepreneurs. Not so much anymore."
US:27502692,My values don't align with the uniparty.
US:174507183,It was chosen for me
US:130529895,I care about the good of the all rather than my own interests or that of oligarchs
US:165213033,Because the Democrats are crazy.
US:131661457,The values of the Dem party seem to me to be for the vast majority of America’s population not just for the wealthy. I think I am an FDR Democrat at heart.
US:323056,My community
US:28437669,They treat people the best
US:203285677,Democrats are crooks
US:185519765,They seem to believe more in fairness and equal opportunities for all and not just the richest.
US:39128355,They for the most part always look out for the best interests of the working men and women of America.
US:2018206,Parents/Community were strong democrats.
US:4277067,Cuz I'm not whiny I don't get offended
US:3654093,I dont understand politics at all. Politicians all lie so it is hard to believe anything.
US:181358225,Neither party represents my values because they are both govwrnmed by monied interests
US:4170926,"I believe in making sure people have equal rights, equal access to medical care, that government should leave women's bodies alone, that insurance companies should not be allowed to deny coverage based on pre-existing conditions, that no one is above the law, that a felon cannot be elected President, that we work in harmony with nations around the world to battle climate change."
US:168833811,I'm not stupid and can think for myself.
US:184157461,They seem to have the better idea and plans for running the government.
US:26203425,I find the Republicans are more willing to do what's right for the country and not just for themselves and their families.
US:198182127,"I don't identify with people who are self-serving, only out for themselves and to heck with others. Who are megalomaniacs which today, it seems, that the large majority of Republicans are, oh yes, also, all are cowards"
US:1119444,They are much more fiscally and socially conservative than the radicals currently running the democratic party
US:167802817,i cared about people
US:153956491,just do
US:18856,I am conservative
US:677956,I believe demand drives the economy.
US:41010027,I agree more with the republicans
US:134422429,Conservative
US:59809,There are further working people and try to make the economy better
US:192591025,"I am for smaller government, more freedoms, and less government in my pocket."
US:2326398,"Because I care about other people, the planet, and the future of this nation. Republicans have drunk the KoolAid and are just evil."
US:32073022,Because they're two wings of the same bird
US:25027018,I am very conservative
US:41039581,I believe in smaller government and the policies of for the people
US:40502040,Freedom
US:876484,The party of common sense and fiscal responsibility
US:168640605,They were for the working-class an progressive at one point
US:40439279,There’s nothing about the Democratic Party that I agree with or support
US:4214353,"I value the rule of law, respect for science, respectful discussions, protecting free speech, the environment, the climate and personal free speech"
US:4718846,"it respects the rule of the law, respects people"
US:4053981,"they are for all of the things I believe in - abortion, equality, inclusion, diversity, gun control, women's rights"
US:120197945,Prefer their choices
US:1462956,Because I choose who I vote for based on my research
US:192997559,"They policies are closer to my beliefs.equality,freedom and looking out for the middle and low class"
US:134467757,Because the Democrats and the majority of the republican party was destroying our country. I like low taxes and not letting our government waste our tax dollars.
US:40746030,Democrats are for improving the lives of people who are not rich.
US:123356213,I agree with their views
US:41598263,Believe more of what they fight for
US:119723801,I dont think i am close to either party
US:2335511,The GQP was already to radical for me.
US:40026978,Na
US:141374753,"lower taxes, less regulation, religious rights, protection of women in sports, immigration"
US:4505860,I'm more oriented in small federal government principles as described by our Founders.
US:192892423,Because I care.
US:2280205,It’s more like the Republicans have pushed me to the Democrats
US:3075231,"I have a strong moral compass and base my choices on facts, not shifting feelings."
US:2709302,"I guess they're somewhat less harmful than the Republican Party, but really I don't like them."
US:2827179,The majority of both houses don't follow desires of the people. Concerned with themselves or THE party.
US:25877219,I believe everyone should be treated equally & the rich should pay much more in taxes.
US:3188763,"I think generally whether you are a Democrat, Republican or Independent it is genic . I am happy as a Democrat and share their views"
US:1128263,We can't afford the democrats to be in power.
US:147006233,no comment
US:160119163,"I believe in a woman’s right to choose, racial justice, government programs to help the poor and the elderly, taxing the wealth."
US:29137695,"I care about the marginalized and vulnerable, helping others, and moving society forward"
US:134654857,No comments.
US:752140,I think of myself as a Democrat because I believe in that they stand for
US:188768029,I agree with a lot of the social issues
US:41837329,I believe in helping others and supporting social justice causes.
US:108085039,Democrats are concerned about the rights of people.
US:1536058,at this time I am appalled at actions taken by democrats in the last 8 yrs & would not change back to a registered democrat
US:30889178,"Because when I saw Barack Obama and his values, it made me want to be better and do better as a whole for the country, it made me want everybody to be able to get along to have unity in this country"
US:38150523,It's the only ethical party choice. Republicans have completely lost their way.
US:2606768,"I have watched all of the corrupt things that the republicans have none to help the rich, and not the poor."
US:112322401,For the work people the poor and needed people
US:197042513,Morals
US:40429605,my parents are democrats and we always boo'd the republican floats when they went by in the parades.
US:191074421,"There is a genuine desire to help people and make a better nation, even if they aren't in agreement as to what that looks like and how to do it. A commitment to avoid doing evil goes a long way in my book."
US:206879589,Because their principles align so much with mine
US:40749114,"Because I believe in God and my country was founded by the principal s and laws and the good book, the Bible!! We fought for our freedom and lost many lives to make the US free. I'm a believer!!"
US:2970581,The answer to this is included in the above answer
US:200185177,Active
US:482788,I want to deport illegals not support them. I support the police and don’t want them defunded. I want criminals in jail not roaming the streets. I want violent protesters in jail. Democrats support the exact opposite things than I do. They are wasting money flying to El Salvador visiting an illegal gang member. Democrats definitely don’t care about America or Americans.
US:134900403,I align more with their beliefs
US:3448310,They look at for people
US:29677730,The positions of the Democratic Party are in agreement with mine far more often than Republican Party positions.
US:39571860,Because the other option is to have Trump
US:144423357,They are the better option
US:41902346,Democrats are out of touch
US:193479349,Because it fits my ideas and values.
US:1202726,because democrats went too far left in their goals
US:4542405,I agree with more of the Republican planform than the Democrats
US:155971683,Cuz I'm more conservative and definitely not liberal!
US:194036659,"The democrats favor socialsism,communism, marxism and try to destroy our country with their policies"
US:148223427,I am a Democrat because we believe in actual freedom and individual rights. The Republican party has forgotten what individual freedom is and done everything they can to restrict freedom of choice and ignore established law.
US:166176695,Because of the policies of that party
US:163192995,"America was good. Growing up, I loved this country so much and had immense pride. After what the democrats have done- our country is crime ridden, and debilitated to a point that I fear it's irreversible, and we are going to crumble like many other empires have."
US:2760647,Because they’re a better choice than the alternative
US:194929215,"If it doesn't make sense, there's a reason. Any President that doesn't have an America first agenda shouldn't be President"
US:39890684,Can't say
US:188063509,Government exists to protect its people and give them opportunities to thrive in the US.
US:194191991,Not sure
US:23655346,"Because that is the party I am registered as. I register in a party so I can vote in primaries and also when I used to live in New York there were often no Republican primaries so I felt I could participate more in the political process by being a Democrat, and I didn't change my party after moving because I didn't feel any more aligned with the Republicans than I do with Democrats."
US:35751182,I didn't agree with the democrats views on most issues and I do not like where the party is at anymore. I agree mostly with the views and beliefs of the Republican party. The better align with my feelings and beliefs.
US:29769192,I just want to be left alone and the government to have little to zero influence in my life. That’s what freedom is.
US:3520768,Both parties need to have TERM LIMITs. These life long politicians are all crooks. They have dirt on both sides.
US:31154189,Believe in republicans actions and government beliefs
US:2907015,The importance of freedom of speech and having strong national security
US:25185204,"I value freedom, fairness, equal rights, and supporting the middle class people."
US:41013035,The Democrats have proven throughout history to be the side promoting and protecting the worst aspects of human nature.
US:27586924,I support moral values and god and country
US:121261917,"Republicans are mostly an anti-party, against too many things I believe in and too often just vote to oppose Democrats not to accomplish anything positive or helpful."
US:198997249,I am in moderate in my politics and feel the Democratic Party represents those interests and policies.
US:27796750,It's the party of sanity.
US:23312295,The Democrats are completely insane.
US:4661069,Always had a more liberal slant toward social issues
US:125711769,Because they value the same things I do
US:133089909,"I believe in caring for people, free speech, minority rights"
US:121586369,"I believe that the government should stay out of our personal business. Democrats just want to take more of our money to spend on their pet projects that are just wasteful. Government should follow the constitution, protect US Citizens and our border. Put America First!!!"
US:4180727,When republicans put Donald trump up I knew my values didn’t align
US:2601198,I agree with general Democratic focus of helping people Succeed and live Healthy lives.
US:183230147,The Democrats are utterly incompetent and evil. They live in a fantasy world and want ultimate control. Republicans for all their flaw like freedom.
US:133669761,"Sometimes the views of Democrats are ridiculous as also in Republicans, so I’m split in the middle"
US:1823459,Democrats want to force people to agree with their policies and seek to punish anyone who disagrees. Republicans generally want fewer laws and federal government controls over private lives and property.
US:33204863,"They align more with the direction I believe this country should go. Democrats have gone so far to the radical left that I cannot support them. They have no clear plans, only criticism and obsession with ridiculous agendas. They want and defend illegal criminal aliens."
US:173586335,"B/c I like all people , I want democracy, I understand history, I’m a critical thinker"
US:171423689,Because I care about every day people and not just the wealthy. I care about healthcare access for all and the needs of the working class.
US:2727969,The other party sucks
US:189853217,I am a democrat because I think the democratic party stands more for the people of the country and care more about the welfare of its citizens.
US:178896471,The democrats are corrupt and grand stand to protect their power and create headlines rather than consider common sense and getting things done for the people. They want to control everyone and people are simply a means to maintain power.
US:2950471,"I want smaller government, lower taxes, and liberty. I want equal opportunity not out comes. I don't trust the government or the media"
US:156255717,"Clinton was horrible. The Democrats no longer even pretended to be liberal. The DNC ignored the will of their party members to nominate the candidate of their choice. And Sanders went along with it. He got paid for it. They became friendly with awful neocons. They became as censorious as Republicans and their speech police moved the social center far to the left. They became pro-Wall-Street and pro-war. I've never thought of myself as a Republican. Their ""family friendly"" policies and decisions based upon religion are an anathema to me. They've always been a censorious, pearl-clutching, and war-driven party. At least they listened to their party members when Trump ran on their party's ticket in the last three elections. They didn't pull dirty tricks to prevent it."
US:1318022,I agree with the values that they represent
US:178225,Republicans better represent my conservative belief's
US:192327411,I don’t have a strong preference
US:27067606,Th GOP gets the job done always.
US:4621054,I believe in community and policy that lifts EVERYONE. I DON'T believe the interests of wealthy and business should be top priority. I believe we should care fir our environment and move away from fossil fuels. I want universal Healthcare and strong public schools. I believe women should have reproductive freedom.
US:192966227,"Democrats want power, Republicans want money. Neither gives a shit about the people."
US:206718369,They both are run by dinosaurs. Get old people out of government. Let the people who will deal with the policy in life decide stuff. Not some 100 year old pile of shit making laws they'll never see
US:178816649,I do not agree with anything that today’s republicans say
US:1968631,Democrats have evolved into Socialists. They give away too much taxpayer money with no accountability. Democrats have forgotten their ROOTS. The United States is a Republic. Each State is supposed to be a Democracy. The Democrats have failed the people in general.
US:4021985,Since 1964
US:2383381,"My cultural values align better; the republican party has no interest in governing, only in keeping power."
US:2426526,"They align with my pro life views, 2nd amendment strong foreign affairs pro military"
US:2392425,Conservative
US:147018857,"I was raised by democrats, and I feel constrained by the 2-party system and thus continue to call myself a democrat even though the party has moved far to the right of my politics."
US:128311491,"I’m only closer to the Dems because I abhor the near-Fascist Republican Party. They wish to destroy the rule of law and destabilize our democracy. So, in this case the Dems are the lesser of two evils."
US:878659,My values and respect of law are in agreement with the Democratic party
US:43200314,"Because it's the party of workers, small government, lower taxes, and personal freedoms."
US:1110411,"Conservative values, they care more about America."
US:39564053,I think we were taught a vision of America that never really existed and learned to strive for a lie. I realized that government rarely works for the poor or marginalized. That we have to fight for them and us.
US:180355483,Have more conservative view and pro Christian values
US:43596614,i do not align myself with either party as some of my views are conservative/republican and some are liberal/democrat. I think the 2 party system is doing this country a grave disservice.
US:184937445,has a thinking in my mind that I agree with
US:180949813,The Republican Party has generally been more in touch with the needs of the American People. Which is exactly how I think our politicians should be rather than supporting non citizens.
US:37849778,Because they are closest to my values
US:142630619,They follow through on what they say
US:123270405,"Same as above, entire family both sides were all Dems."
US:130255147,Democrats follow the rule of law and the Constitution
US:25273077,I realized that generally that party supported or at least did not oppose the policies that I preferred. Democrats also seem to be the only political party in the US interested in governing.
US:180118921,"Because I am a Bible believing Christian. Democrats lie, abortion is murder, homosexuality is an abomination, child indoctrination in carnal knowledge is an abomination, transgenderism is an abomination, democrats are being proven to be thieves, democrats are one sided with criminal justice, democrats use legalized warfare against their opponents, democrats support illegals over American citizens, democrats do very little to help the poor - seniors - veterans and list goes on and on."
US:170765277,"The dems are out of their minds with DEI, affirmative action, immigration, womans sports. They have no ideas of their own."
US:101022261,Freedom of speech and fiscal responsibility
US:114311841,I believe that there is too much money wasted by Washington. I am against abortion and DEI. The Democrats have become increasingly socialistic and immoral since the late '60s.
US:3678151,I feel that the Democratic party has a better connection with the rights and needs of the people.
US:28153591,because the alternative would be reprehenisible
US:148926167,"We live in a completely stifled two-party system, and unfortunately the only party that's slightly better at supporting the needs of the working class is the Democratic party."
US:170546285,The whole truth is I don't believe anyone nor any person who can change an order who charge things that is not in their nature or in their heart.
US:1559441,they make sense
US:1907018,"The Libertarian Party was unable to field candidates in all of the elections that I can vote for. So I have had to choose between two parties, neither of which match my own philosophy very closely."
US:180659271,"Because rationality only applies to that party. The MAGA party is, by definition, irrational."
US:41052864,I am not a religious right-wing nut job.
US:109852547,Not sure
US:1160325,Somewhat of a birthright. First my father showed his views on politics and I followed suit.
US:178061109,"I believe in many more of that party's ideals. Also, I am 100% against Trump."
US:151299421,I have always lived in a Republican state.
US:190468115,Because it is a strong party
US:178529855,Because it depends on the issue at hand and how each party intends to address it.
US:167953149,Better opeople and ideas
US:183104753,"I believe the Dems are more inclusive to minorities and work to build a multi-cultural society where people have the tools and support to build their American Dream. I think the Dems are more likely to make decisions about climate change, public health, economics, etc. based on science."
US:134488149,"In the past, I sometimes understood the Republican positions but today I can't align with any Republican positions so I must align with the Democratic Party. I don't think the Republican Party exists like it once did after Donald Trump came onto the scene. In general, the Democratic principles aligned with my beliefs, but I don't think they take enough action. I'm more aligned with people like Bernie Sanders and AOC and the social democracy movement."
US:140033901,Democrats look after the people. Republicans look for power and control and do virtually nothing for the good of the people.
US:40432940,The democrats have done nothing but make things worse in this country!
US:120519847,Values
US:2786276,"Reason, logic, and common sense mean something to me and throwing money at a problem has NEVER worked."
US:41828812,"Lower taxes, regulation"
US:474324,The Democrats only care about spending money and lining the pockets of their supporters. They are mostly corrupt.
US:25960898,I am more conservative in my ideas than liberal.
US:181703323,"The basic values, being more pro business, for less goverment."
US:32595232,"There is no longer a republican party, it is now MAGA, which is clearly fascist."
US:37964033,Common sense and they are aligning with MAGA values
US:2777334,Fiscal conservative
US:40853257,I relate with the political viewpoint of most republicans. I do not agree with the progressive Democrats. Any one with common sense and integrity would side with the ones who listen to the majority of the people. Things will never be perfect but politicians should not have free rein on our hard earned money. All have abused their power but at least the republicans are trying to correct the wrong.
US:1925084,I believe I. The constitution
US:34371433,I believe elected representatives should represent and vote in lock step with what their constituents want and Dems do that better
US:186387017,They are more first rule of law and lives of average Americans
US:186512013,Don’t know
US:2134129,Because it is the party of common sense.
US:42603758,Religious right is not politics. Separation of church and state shouldn't be compromised.
US:2840119,I do not like the Lying that goes on in the Socialist Democrat Party.
US:183590675,"I believe in separation of church and state. I used to be a republican because I am an economist by education and profession and believe in free markets and world trade. Over time, the Republican Party has shifted from protecting free markets and defeating communism to focusing on promoting a Christian theocracy that doesn't match my beliefs. My own viewpoints are something closer to Rockefeller Republicanism than today's Democratic Party but the Democrats are the least bad choice available."
US:185540091,I don't think government should be in the business of social engineering. I think government should be smaller and less involved in business and individuals lives.
US:180748513,Obama exuded hope & compassion toward all people in the nation. He was friendly and respectful toward everyone.
US:104625503,I believe in traditional family and God fearing values and cherish this country.
US:29687843,"Democrats encourage more government spending causing waste, fraud and abuse"
US:2813844,never
US:291858,"The Democrats have done better running the economy. A Democrat balanced the budget, reduced inflation, and encouraged job creation."
US:388889,I believe the peoples voice should be heard and follow up with some type solutions to it to it. To benefit the people and the government
US:37516762,"When I found out how much the Democrats had changed and how much fake news is being spread by the liberal media. I used to think they were reporting the facts, then I realized that is not so."
US:201697189,I like immigrants and gays
US:2674554,Most Republicans at least pay lip service to conservative values. Almost all Democrats do not.
US:4556319,Was forced to declare myself as a Republican when I was 18
US:25959865,I agree more with their views.
US:146374001,At this point it is about who is going to do the least amount of harm.
US:999307,The Republican Party is farther-away from my political views than the Democratic Party.
US:207504775,Democrat leaders/representatives genuinely care about the people and listen to the people’s needs
US:180837205,Because Republicans think the same way I do and have the same ideals.
US:46123684,I agree with the party's ajanda
US:31983144,"I am from the working people, and we work hard to take of our family"
US:1830047,I'm a conservative person who is family oriented. God is first in my life and I will always pray for our country of freedom for all.
US:22539050,Not sure
US:27157409,"I believe in personal responsibility, law and order, cutting taxes, supporting police and military, pride in being American, equal opportunity for all (not equity)"
US:151759861,Because I don't trust any politician
US:41797019,Share values and almost always vote for Democratic candidate
US:29880268,Values of the party correspond more closely with my own values
US:105617299,Not as much crazy and demented people
US:111199015,"My ideologies, political and societal viewpoint align more closely with the Democrats. If you have to attach a label, that is."
US:1659535,"The democrats are against free speech, religious freedom, are open borders advocates, ant-2nd amendment, pro tax, pro war and are more corrupt than republicans."
US:170297255,I am liberal on the majority of social issues
US:149312475,the Democrats are nuts and wildly out of touch
US:173315639,I THINK GOVERNMENT SPENDING IS OUT OF CONTROL. I THINK ILLEGAL IMMIGRATION WAS OUT OF CONTROL. I THINK CHINA AND THE TRADE POLICIES ARE OUT OF CONTROL
US:4013477,"When Trump was elected the first time, things changed for the better for the middle class and small businesses and he was tougher on immigration and the country was thriving once again. Republicans in office work best for me."
US:1022013,Republicans are more in line politically with my views.
US:188429969,i am liberal
US:22758472,Like the president's who are
US:2354869,"I just don't want to be known as a democrat. Really, I identify more with Maga, and with the constituion, and the bill of rights."
US:196820905,"I believe everyone deserves a chance to share in the nation’s wealth. I believe we should assist those who need help. We should treat everyone equally. Everyone should pay their share in taxes which benefit everyone. I believe the U.S. should spend less money on the military and more on social welfare. I believe our civil rights, democracy and the constitution should be protected."
US:140251567,I most closely align with Republican values.
US:134351819,"Both parties are all about big government, they just differ on what big government should do. I want people to be able to run their own lives"
US:3343879,Democrats have an evil agenda
US:184534221,People don’t always deserve everything and those who have earned something shouldn’t be forced to fund anything.
US:185130269,Because too far left or right is a bad place to be especially the left
US:195714785,"Me identifico más así, la democracia es derecho del pueblo, todos tienen el derecho a reclamarlo"
US:181662917,Think they both don't work for the country
US:184468361,I am conservative in my views.
US:185031127,Mostly because my parents taught a Democrats were good people and did the right thing
US:184201605,"I can see points from both sides. There are policies I can back from both parties; i.e.: the immigration reform from the Republican party, and the environmental policies from the Democratic party."
US:138967145,I hate the 2 party system
US:184422555,because i like their opinions
US:25704002,Se above answer.
US:126024231,"I believe in the policies that Democrats stand for, from FDR on up."
US:1878206,"I favor the independence of the individual, but also realize the importance of the government's role in education and providing a social safety net"
US:133936283,"Conservative values, work hard, don't support people on the doles forever or workmthe syste. Capitalism, opportunity, rules, accountability"
US:31319470,Think the Dems are more for the common person
US:3687552,They are the same damn party! One is the lite version of the same party!
US:38544764,"I’m conservative, believe in God, sanctity of life , and love of our country"
US:40363931,"I actually care about our future. I don't mind other races. I actually have mixed children, and three are girls. I fear for their future."
US:2719586,"1980 Regan vs Carter watching the democrat party destroying America, for the last 50 years, Creating crisis’ one after another growing government, making life harder and harder for the middle class, destroying city after city shipping jobs overseas, creation slums in all the cities, explosion of unemployment, in every state, and growing government to control and destroy the constitution of the USA ."
US:454187,Because I believe in the ideals of the Democratic Party
US:792291,I sometimes agree with republicans and sometimes with democrats
US:1034363,"Many more Democrats have led the way to legislating a more inclusive and fair country, and also have been much better at handling the economy. Republicans now run on more emotional appeals that tend to separate the electorate into single issue voters. Republicans are better at labeling issues to appeal to the less politically involved."
US:2840828,They reflect my values much more than democrats
US:2863590,The democrats were going left and have since gone too too far left. They don’t care about what the rest of the country thinks.
US:40527757,"Grew up middle class, believed in unions, and the my neighbors and people I grew up with. Believed everyone should be equal, not just people who were white like myself. It did not matter how much money you made, we were all equal"
US:952719,"The Democrats are too far Left with their ""woke"" agenda. The Republicans seem to want to legislate what you can do in your bedroom."
US:187892777,I loathe the idea of a two party system
US:192085229,I sometimes agree with Republicans and sometimes disagree I keep my mind open
US:204934889,Democratic party is too extreme and want to take from the working people to give to healthy non working people.
US:35295065,"I believe in following the constitution, law and order, and peace and fairness in our country."
US:26990352,"I don't think hoarding money is a good thing. I give to the less fortunate all the time, even though I myself have little."
US:41640576,"I believe in the Constitution, America first. I do not agree with the ideals of the Democrat party which push transgenderism, that the LGBTQ have more rights than those that are not, the illegal alien invasion, giving illegals more rights than natural born Americans, etc."
US:33605021,I'm for the people.
US:4020384,"Against abortions paid for by taxpayers, want closed borders, limited government, and much lower taxes."
US:4398194,"For the most part, Republicans believe in common sense. I support Donald Trump's ideas of making America great by reducing inflation, closing the southern border, getting DEI out of our schools, universities and businesses."
US:41027908,Because I care about the welfare of the commons
US:29571679,Born again faith believing
US:141241591,I fought for my country and I will again
US:145101741,"I believe that the government had the ability and responsibility to not only protect its citizens from foreign invaders but to allocate funds to improve their economic potential, health and civil rights."
US:390316,"I strongly value: social justice, equality, and government accountability, believing that active involvement in political processes—like voting, protesting, and lobbying—helps shape a fair and representative democracy. Public education is also a fundamental pillar of democracy, as it equips citizens with the knowledge and critical thinking skills necessary to engage in democratic processes."
US:173748631,"I supported things like limited government, lower taxes, freedom of speech and opposed things like expanding immigration and raising taxes."
US:4405534,I can't stand what the Republican party has come to stand for. The Democrats are the only ones who seem to care about the greater good.
US:4170438,I care about other people
US:2505814,Neither. They’re both useless elitist parties that care little about anyone or anything other than themselves.
US:172527909,I feel that the parties are the reason why our government is failing because they bicker and fight each other do not care about the government.
US:171605965,I don’t agree with liberal woke stuff and I do believe punishment for crimes is too lax in democrat run cities.
US:115176413,Fiscally only
US:184659269,"I care about other people. I want people to receive the goods and services they need. Immigrants deserve to be here. Science is real, climate change is real. Rich people should pay higher taxes. The president is not above the law."
US:46352702,I despise both parties. Both are extremely pro corporate on economic issues. And both are divisive and uncompromising on social issues.
