person_id,when_think_pid
US:1804280,60 years ago
US:30701219,When I started 5th grade
US:990540,when i was 24 years old
US:163989631,1969
US:137783195,My first vote for a Democrat President was Obama.
US:112049047,During Ronald Reagan's presidency.
US:28491293,After Richard Nixon resigned
US:150431611,"In my late teens, in the mid 1980's"
US:35905672,Unknown
US:41217056,When I became legally able to vote.
US:172489391,When Ronald Reagan was elected President
US:4482809,im not sure
US:186669327,Not sure when. Probably when deciding first election voted in on who voting for
US:40022218,Middle school
US:1421994,1980. When Reagan beat Carter and started destroying the country
US:139758105,I refuse to join either party since I have little respect for either of them. I am closer to the democrats because of Trump and all the republican who follow and support him. I find to be cowards who refuse to stand up to Trump and his autocratic ways.
US:40943555,in 1974 when i voted for nixon
US:199829417,Back in 2015 before the 2016 election..
US:1729988,When I was born
US:1130607,Probably about 3 or 4 decades ago.
US:178340357,"It’s been 5 years or so since I withdrew my affiliation with the Democratic Party. I’ve become quite disillusioned with our government and politicos. Now both parties are repugnant and demonstrating little, if any, regard for the Constitution and our check and balance system."
US:139599977,Since I was able to vote at age 18.
US:3351511,When I waz old enough to register to vote.
US:1625340,1976
US:939207,"There was a time when I was closer to the Republican party, but with the current Federal government things are different and the will of the common people are not recognized now. The Democratic party is now closer to democracy, the Republican party is clearly getting away from democracy."
US:168601691,1970
US:177520929,1987
US:4191686,I became a Democrat after Donald Trump served his first term.
US:182233645,At age of 18
US:197890433,30 years ago
US:26736042,1979
US:155870419,My first voting time was to vote for Ronald Reagan
US:4364745,Probably 20 years ago.
US:23562026,Neither part really represents my interest. More alike than different
US:142438759,After Obama took office and I realized how corrupt the democrats are and we need a change
US:4201733,When I was able to vote
US:3523748,When my parents told me they were. I was 18.
US:2867682,Can’t remember but probably high school
US:1336536,Long time ago
US:45056868,The first time I voted at the age of 18
US:1189946,1990
US:2297173,when I was 18.
US:3183554,Leaned Republican after JFK asassination
US:519167,All of my life.
US:186860737,College when Al Gore ran against Bush
US:124249271,When I first started voting and my audiology align with some of the Democratic candidates.
US:1885144,When I was around 10
